Periode,Estimation,Borne_sup,Borne_inf
01/2016,3.89185,6.2945199999999994,1.88815
02/2016,4.215149062499999,6.817415,2.0450015624999995
03/2016,2.73814768954918,4.42857237704918,1.328427074795082
04/2016,2.0212171487994475,3.2690376345331438,0.9806045334216856
05/2016,1.580341288104914,2.555979570774861,0.7667111847001777
06/2016,1.4290785705104898,2.311336467782843,0.6933252365013084
07/2016,0.929950320057434,1.9692941883485402,0.24953571167487046
08/2016,0.7477853753273712,1.6006656270483577,0.18955918556857418
09/2016,0.5478113688788874,1.0720718597022383,0.17276815994109626
10/2016,0.5136565504322869,1.0047042613080084,0.16217377512705847
11/2016,0.5117554135635041,1.000983804775516,0.16157422802329102
12/2016,0.4886734387308437,0.9558354279904032,0.1542866792500693
01/2017,0.5216987559638444,1.020432794081718,0.1647137511696187
02/2017,0.5845050471255375,1.1432809869198033,0.18454327575670756
03/2017,0.46397982405428534,1.1277215516124877,0.18037798891022702
04/2017,0.49445483550121283,1.21365606466436,0.2029460349866745
05/2017,0.4165486136252591,1.0315617167652245,0.19840138816219033
06/2017,0.5565945340031376,1.6241151770593925,0.22120654708139414
07/2017,0.7094001725073051,2.236745283169817,0.2384841725311705
08/2017,0.683854231731446,2.1587313390037477,0.2741590054793285
09/2017,0.6707086134946417,2.239227920227875,0.27565696558275293
10/2017,0.7771818884585854,2.9612922311253564,0.315677620258723
11/2017,0.8971424469276582,3.447397752952497,0.36742998155031104
12/2017,0.849001487085489,3.382566330603356,0.36052012836169794
01/2018,1.1018163954741602,4.509464981325961,0.4806266668420241
02/2018,1.2984434028774234,5.731916729988632,0.610917728265848
03/2018,1.2140603582842953,4.885649705094802,0.6352441437778329
04/2018,1.4020410709954796,4.90545456168503,0.760395187522844
05/2018,1.3128610810692432,2.875080463100569,0.8060945952905197
06/2018,1.3469395935232948,3.13239975137384,0.5474844785903631
07/2018,1.4970183347136075,3.5012943042183715,0.5751976828900223
08/2018,1.4571792567105015,3.048837917695146,0.6065361204267903
09/2018,1.6696987479556005,3.3101132696591744,0.7201883447388994
10/2018,1.5444243768636374,2.6846802122086157,0.7169574013380485
11/2018,1.478021645151413,2.698227104451939,0.6233666577232991
12/2018,1.2166092135507987,2.2363670047884163,0.5126380550260068
01/2019,0.941049871662307,1.5469748103963425,0.4266884576618286
02/2019,1.0057684839287788,1.6895005095836846,0.4580877557248775
03/2019,0.8980068931521875,1.4119602945584633,0.4213203181277897
04/2019,1.0030259535746862,1.6517974391698054,0.466538349046443
05/2019,0.9799803007013761,1.8688332764496056,0.4042423486845081
06/2019,1.1080054329332545,2.4481365651253606,0.44412711726657417
07/2019,1.1882770778035472,3.100502845512617,0.4616605063515387
08/2019,1.4496330611747927,4.10887509766655,0.5550998170407575
09/2019,1.4615426366128166,3.0103454291773635,0.606671865535105
10/2019,1.647260323092418,3.3948345587074287,0.6850680816536753
11/2019,1.6711320202163402,3.0345380689212758,0.7450771363894744
12/2019,1.5284241313907874,2.7992917806211888,0.6803063432120122
01/2020,1.522698648516683,2.4775214034067177,0.712764847019981
